"ID","Site.Type","Site.Name","Lat","Long","Seagrass.Unveg","Date","Time","Depth","Distance","Data.Collector","Q.PA","Phylum","genus.species","Genus","Species","Length","Abundance","Notes","Participant.List","Contact.Email","site.paired","family","trophic.group","trophic.group.simple"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Atherinosoma_microstoma","Atherinosoma","Atherinosoma microstoma",34,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Atherinidae","planktivore.benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",30,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",34,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",40,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",33,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",37,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",34,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",34,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",31,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",29,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",24,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Nesogobius_maccullochi","Nesogobius","Nesogobius maccullochi",48,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Gobiidae","benthic.invertivore","carnivore"
"Edwards Point_Seagrass_20170223","Edwards Point_Seagrass","Edwards Point",-38.193552,144.711297,"vegetated",20170223,"1300","1.3m","20m","Holger Janes","Q","Chordata","Heteroclinus_perspicillatus","Heteroclinus","Heteroclinus perspicillatus",50,1,"","Holger, Songlin","hjanes@deakin.edu.au","Edwards Point","Clinidae","benthic.invertivore","carnivore"
