taxon,RDA1.t1,PC1.t1,CAP1.t2,MDS1.t2,RDA1.t3,PC1.t3,CAP1.t4,MDS1.t4
Albulidae,-0.09648322115994461,0.03459290498574314,0.0030519754064698723,-0.0012338933537137024,-0.10799411730374342,-0.041702621733500964,0.06662638638383475,0.18885158029334909
Arripidae,0.2910516748956268,0.02989469652789001,-0.026923579156463387,-0.001568867468290093,0.29105167489562683,-0.10360051404055792,-0.12843795303979189,0.051742189820973894
Blenniidae,0.09190081825272682,0.05392553522252183,-0.01452826241080229,-0.06387207171308347,0.20171266093212073,-0.38263173432013525,-0.2415475283925904,0.8026814848868292
Cancridae,-0.13552658353689445,0.09616403497106743,0.07167957456175618,0.004426338175559785,-0.19986183137405902,0.2766789198426692,0.22875608354016808,-0.4257146319632911
Carangidae,-0.07549061975182073,-0.001815231296679701,0.0011052644677540895,-5.364591689740109e-4,-0.07549061975182077,-0.07678845232861807,0.03331319319191736,0.1402492572272814
Channidae,-0.07990128014571897,0.06372089240097735,8.79907748290446e-4,-7.811149204437725e-5,-0.07990128014571898,0.10177024989584911,0.03525956987141637,-0.0052580700118834275
Cheilodactylidae,-0.07990128014571897,0.06372089240097734,0.001970993356170601,-1.749697421794053e-4,-0.07990128014571898,0.10177024989584912,0.03525956987141637,-0.0052580700118834275
Clinidae,-0.0914259061269226,0.07663164425113354,0.007925634024324491,0.005069865812765671,-0.11214292352732197,0.13658022285132887,0.08374407323358495,-0.27411929912639404
Cottidae,-0.21686728385187998,0.14409313503870674,0.05936166971270313,0.15778774305637996,-0.26116905288747844,0.40197249532403,0.3543768258097946,-1.6261863193300186
Crangonidae,-0.08019894024280796,0.100151016486062,0.02042612947962817,-0.06480436698997492,-0.09537464786456912,0.21839094758694294,0.08973149007970614,-0.22431254534414435
Cyclopteridae,-0.10458336987193176,0.06576437469840991,0.005400788994237571,0.0032101153843132717,-0.1167580507209329,0.14946518546608079,0.07203324768956282,-0.15701000694759498
Cyprinodontidae,-0.017279922609342756,-0.8540160074355253,0.003393461818802751,-0.0408064356957569,-0.035522488404158274,-0.36299733332336676,0.030263715076364814,0.3983605362382353
Diodontidae,0.357823932059038,-0.07082927644089562,-0.003542034350931684,7.576698820281545e-4,0.3578239320590381,-0.21308901279266523,-0.15790382721141655,0.0396594424576184
Eleotridae,0.5211431866458429,0.08940460305343649,-0.012855485627004283,0.002941880168088897,0.5211431866458431,0.18961008968083584,-0.22997484607305393,-0.07896501328333264
Elopidae,-0.010945395202848032,-0.877097244276235,5.624988419598063e-4,-0.007492058479014136,-0.01094539520284804,-0.6162557871681223,0.004830084401917597,0.14953486410866274
Embiotocidae,-0.12062515218566729,0.0654724230965419,0.7151092204693613,1.213453282907017,-0.192333276269249,0.23620457857240493,0.23031587256746353,-0.8203102325803107
Epialtidae,-0.09705005707716811,0.057539951619565724,0.015299070362082843,-0.010455292363933395,-0.14262291397352053,0.10671462440529539,0.10650537168915397,-0.16491567843699068
