Site.Name,Lat,Long,habitat,Date,Time,Depth,Distance,width.transect,area,volume,Q.PA,phylum,family,Genus,Species,Length,Abundance,Country,SPECIES_NAME,cpua,A,B,biomass,biomass.area,biomass.vol
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Atherinidae,Atherinosoma,microstoma,34,1,Australia (VIC),Atherinosoma microstoma,0.005,0.01,3.04,0.41275838812489307,0.002063791940624465,3.175064524037639e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,30,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.30832362855833517,0.0015416181427916759,2.3717202196795013e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,34,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.4422477084241344,0.002211238542120672,3.401905449416419e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,40,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.7064480770437708,0.003532240385218854,5.434215977259775e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,33,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.4057892400340094,0.002028946200170047,3.121455692569303e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,37,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.5642878782429088,0.002821439391214544,4.340675986483914e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,34,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.4422477084241344,0.002211238542120672,3.401905449416419e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,34,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.4422477084241344,0.002211238542120672,3.401905449416419e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,31,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.3388814166453393,0.0016944070832266964,2.6067801280410712e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,29,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.27962396026206726,0.0013981198013103364,2.1509535404774406e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,24,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,0.16207355226414064,8.103677613207032e-4,1.2467196328010818e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Gobiidae,Nesogobius,maccullochi,48,1,Australia (VIC),Nesogobius maccullochi,0.005,0.013,2.882,1.1947597915312758,0.0059737989576563785,9.190459934855968e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,50,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,1.462012358490454,0.00731006179245227,1.1246248911465032e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,50,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,1.462012358490454,0.00731006179245227,1.1246248911465032e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,60,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,2.4248171864940224,0.012124085932470113,1.8652439896107864e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,64,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,2.9004054300654794,0.014502027150327397,2.2310811000503686e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,57,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,2.1031100862856413,0.010515550431428206,1.6177769894504935e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,97,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,9.196039844648933,0.045980199223244665,7.073876803576102e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,69,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,3.573678740034005,0.017868393700170026,2.748983646180004e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,58,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,2.207099761656876,0.011035498808284382,1.6977690474283662e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,54,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,1.8100974861603711,0.009050487430801855,1.392382681661824e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,60,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,2.4248171864940224,0.012124085932470113,1.8652439896107864e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,43,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,0.9620203212473777,0.004810101606236889,7.400156317287521e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,48,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,1.3054303801692928,0.006527151900846464,1.0041772155148406e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,44,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,1.0253932612208116,0.005126966306104058,7.88764047092932e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,32,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,0.42374098478300337,0.002118704923915017,3.259546036792334e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Clinidae,Heteroclinus,perspicillatus,37,1,Australia (VIC),Heteroclinus perspicillatus,0.005,0.0168,2.775,0.6339705238070129,0.0031698526190350644,4.876696336977022e-5
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Monacanthidae,Acanthaluteres,spilomelanurus,45,1,Australia (VIC),Acanthaluteres spilomelanurus,0.005,0.0556,2.877,4.2108250097196125,0.021054125048598063,3.239096161322779e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Monacanthidae,Acanthaluteres,spilomelanurus,40,1,Australia (VIC),Acanthaluteres spilomelanurus,0.005,0.0556,2.877,3.0005535827139993,0.015002767913569996,2.3081181405492304e-4
Edwards Point,-38.19355,144.7113,Seagrass,20170223,1300,130,20,10,200,13000,Q,Chordata,Monacanthidae,Acanthaluteres,spilomelanurus,34,1,Australia (VIC),Acanthaluteres spilomelanurus,0.005,0.0556,2.877,1.879921158606841,0.009399605793034204,1.4460931989283393e-4
