Site.Name,Lat,Long,habitat,Date,Time,Depth,Distance,Q.PA,Phylum,Genus,Species,Length,Abundance,Country,width.transect,width.seine,length.measured,SPECIES_NAME,phylum,family,eat.squid
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Arenaeus,cribrarius,15,1,USA (NC),7,7,yes,Arenaeus cribrarius,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Arenaeus,cribrarius,20,1,USA (NC),7,7,yes,Arenaeus cribrarius,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160817,1420,50,44,Q,Arthropoda,Arenaeus,cribrarius,21,1,USA (NC),7,7,yes,Arenaeus cribrarius,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,30,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160625,1040,100,34,Q,Arthropoda,Callinectes,arcuatus,32,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160626,930,80,35,Q,Arthropoda,Callinectes,arcuatus,32,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,32,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,33,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,36,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,38,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160625,1040,100,34,Q,Arthropoda,Callinectes,arcuatus,46,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,46,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,49,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160626,930,80,35,Q,Arthropoda,Callinectes,arcuatus,50,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160626,930,80,35,Q,Arthropoda,Callinectes,arcuatus,50,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,50,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160626,930,80,35,Q,Arthropoda,Callinectes,arcuatus,52,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160626,930,80,35,Q,Arthropoda,Callinectes,arcuatus,55,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,57,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,65,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
