family,eat.squid,flag,note
Albulidae,1,,
Ariidae,1,,
Balistidae,1,,
Caesionidae,1,,
Cancridae,1,,
Carangidae,1,,
Carcharhinidae,1,,
Carcinidae,1,,
Chaetodontidae,1,,
Channidae,1,,
Cheilodactylidae,1,,
Clinidae,1,,
Cottidae,1,,
Crangonidae,1,,
Cyclopteridae,1,,
Cyprinodontidae,1,,
Diodontidae,1,,
Eleotridae,1,,
Elopidae,1,,
Epialtidae,1,,
Fundulidae,1,,
Gadidae,1,,
Gerreidae,1,,
Gobiesocidae,1,,
Haemulidae,1,,
Hexagrammidae,1,,
Labridae,1,,
Lateolabracidae,1,,
Lethrinidae,1,,
Lutjanidae,1,,
Moronidae,1,,
Mullidae,1,,
Muraenidae,1,,
Nemipteridae,1,,
Ostraciidae,1,,
Ovalipidae,1,,
Palaemonidae,1,,
Panopeidae,1,,
Penaeidae,1,,
Phycidae,1,,
Pomacentridae,1,,
Portunidae,1,,
Salmonidae,1,,
Scaridae,1,,
Sciaenidae,1,,
Sebastidae,1,,
Serranidae,1,,
Sillaginidae,1,,
Sparidae,1,,
Sphyraenidae,1,,
Terapontidae,1,,
Tetraodontidae,1,,
Tetrarogidae,1,,
Trachinidae,1,,
Urotrygonidae,1,,
Varunidae,1,,
Acanthuridae,0,1,"likely would eat squid pops, but likely reef associated migrants. Sites with Acanthurids"
Acropomatidae,0,,
Agonidae,0,,
Ambassidae,0,,
Ammodytidae,0,,
Aplysiidae,0,,
Atherinidae,0,,
Atherinopsidae,0,,
Aulorhynchidae,0,,
Aulostomidae,0,,
Batrachoididae,0,,
Belonidae,0,,
Blenniidae,0,,
Callionymidae,0,,
Clupeidae,0,,
Echeneidae,0,,
Embiotocidae,0,,
Engraulidae,0,,
Fistulariidae,0,,
Gasterosteidae,0,,
Gobiidae,0,,
Hemiramphidae,0,,
Hippolytidae,0,,
Kyphosidae,0,,
Labridae,0,,
Liparidae,0,,
Loliginidae,0,,
Lysmatidae,0,,
Monacanthidae,0,,
Monodactylidae,0,1,eats squidpops in another paper; Matt added this family back into the analysis
Mugilidae,0,,
Osmeridae,0,,
Paguridae,0,,
Paralichthyidae,0,,
Pholidae,0,,
Platycephalidae,0,,
Pleuronectidae,0,,
Processidae,0,,
Pseudomugilidae,0,,
Rhinobatidae,0,,
Rhombosoleidae,0,,
Salangidae,0,,
Scyliorhinidae,0,,
Sepiidae,0,,
Siganidae,0,,
Soleidae,0,,
Stichaeidae,0,,
Syngnathidae,0,,
Synodontidae,0,,
Trichechidae,0,,
Triglidae,0,,
