Site Name,Lat,Long,Seagrass/Unveg,Date,Time,Depth,Distance,Data Collector,Q/PA,Genus,Species,Length,Abundance,Notes,Participant List,Contact Email
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Cymatogaster,aggregata,105,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Cymatogaster,aggregata,104,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Cymatogaster,aggregata,106,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Cymatogaster,aggregata,107,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,54,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,65,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,55,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,52,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,50,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,52,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,63,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,46,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,53,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,62,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,35,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,50,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,51,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,45,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,54,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,51,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,51,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,56,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,55,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,51,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,51,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,59,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,56,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,53,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Sebastes,sp,54,,flavidus - melanops species complex; very difficult to differentiate when juveniles,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Oligocottus,maculosus,60,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Oligocottus,maculosus,25,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Hemilepidotus,hemilepidotus,55,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,70,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,73,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,71,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,69,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,305,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,60,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Apodichthys,flavidus,65,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Hexagrammos,lagocephalus,103,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Hexagrammos,lagocephalus,102,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Artedius,lateralis,77,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Hexagrammos,decagrammus,92,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Hexagrammos,decagrammus,65,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,77,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,85,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,70,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,70,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,92,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,80,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,83,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,84,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,89,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,100,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,85,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,51,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,74,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,92,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,57,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Citharichthys,sordidus,71,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,51.676595,-128.123782,Seagrass,20160706,956,100,25,Zach Monteith,Q,Parophrys,vetulus,86,,,"Midoli Bresch, Krystal Bachen",midoli.bresch@hakai.org
