country,Country,siteName,latDecimal,longDecimal,seagrassSpecies,shootDensity.m2,percentCover,canopyHeight,Notes
Australia,Australia (NSW),Smiths_Lake_NSW,-32.380278,152.508889,Zostera muelleri,101-500 shoot per square meter,75-100%,26-50 cm,
Australia,Australia (NSW2),Urunga Lagoon 1,-30.50583,153.02362,Zostera muelleri,501-1000 shoots per square meter,75-100%,26-50 cm,This site has a fairly dense cover of eel grass with little epiphytic growth. Average length was 49 cm.
Australia,Australia (VIC),Edwards_Point,-38.193552,144.711297,"Zostera muelleri, Zostera nigricaulis, Posidonia australis",501-1000 shoots per square meter,75-100%,51-100 cm,
Australia,Australia (VIC),Indented_Head,-38.152773,144.716919,"Zostera muelleri, Zostera nigricaulis, Posidonia australis",501-1000 shoots per square meter,75-100%,51-100 cm,
Australia,Australia (VIC),St._Leonards,-38.180151,144.715595,"Zostera muelleri, Zostera nigricaulis, Posidonia australis",501-1000 shoots per square meter,75-100%,51-100 cm,
Australia,Australia (QLD4),Green Island,-16.75543,145.97292,"Halodule uninervis, Syringodium isoetifolium, Cymodocea rotundata, Cymodocea serrulata",more than 2000 shoots per square meter,75-100%,26-50 cm,
Australia,Australia (QLD),Bowen,-20.01734,148.25191,Halodule uninervis,1001-2000 shoots per square meter,26-50%,0-10 cm,
Australia,Australia (QLD3),Moreton_Bay,-27.49408,153.397264,Cymodocea serrulata,101-500 shoot per square meter,75-100%,11-25 cm,
Australia (QLD2),Australia (QLD2),Hervey Bay,-25.307906,152.909319,Zostera muelleri,101-500 shoot per square meter,26-50%,0-10 cm,
Australia (QLD2),Australia (QLD2),Noosa river,-26.393508,153.055206,Zostera muelleri,1001-2000 shoots per square meter,75-100%,26-50 cm,
Belize,Belize,Carrie Bow Cay,16.802531,-88.082399,Thalassia testudinum,501-1000 shoots per square meter,75-100%,11-25 cm,
Brazil,Brazil,Praia do Engenho,-23.7886,-45.3636,Halodule emarginata,1001-2000 shoots per square meter,0-25%,0-10 cm,
