"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",0.572270146273394,54825,"Reported","Sockeye salmon","Industrial",26,2,1,"R","Landings",600243
"2","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",6.60717123148532,55544,"Reported","Sockeye salmon","Industrial",26,2,1,"R","Landings",600243
"3","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",7.88622629848117,54825,"Reported","Sockeye salmon","Industrial",26,2,1,"R","Landings",600243
"4","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",91.0507875757947,55544,"Reported","Sockeye salmon","Industrial",26,2,1,"R","Landings",600243
"5","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",4.76781655257109,54825,"Reported","Sockeye salmon","Industrial",26,2,1,"R","Landings",600243
"6","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",55.0470447712254,55544,"Reported","Sockeye salmon","Industrial",26,2,1,"R","Landings",600243
"7","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",0.00020036467883328,54825,"Unreported","Sockeye salmon","Industrial",26,2,1,"U","Landings",600243
"8","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",0.00231331959287737,55544,"Unreported","Sockeye salmon","Industrial",26,2,1,"U","Landings",600243
"9","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",0.00276114560543031,54825,"Unreported","Sockeye salmon","Industrial",26,2,1,"U","Landings",600243
"10","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",0.0318789332781755,55544,"Unreported","Sockeye salmon","Industrial",26,2,1,"U","Landings",600243
"11","pelagicmd",2010,"Canada","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",0.00166932005541928,54825,"Unreported","Sockeye salmon","Industrial",26,2,1,"U","Landings",600243
