SpecCode,Species,AutoCtr,StockCode,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,SpecimenType,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
3832,Acanthogobius flavimanus,5741,4028,405,30504,15.3,15.3,TL,NA,NA,1,unsexed,0.01103,0.01103,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,fresh,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
3832,Acanthogobius flavimanus,39596,4028,NA,112072,5.2,22.5,TL,NA,NA,122,unsexed,0.00878,NA,2.869,0.991,NA,0.025,NA,NA,0.0078,0.0099,2.82,2.92,Type I linear regression,fresh,Suer River estuary / 2009-2010,NA,410,NA,65,2017-04-20T00:00:00Z,NA,2017-04-20T00:00:00Z,NA,NA,NA
1267,Acropoma japonicum,37478,1284,NA,108763,4.1,9.2,SL,NA,NA,62,unsexed,0.0266,NA,2.98,0.994,NA,NA,NA,NA,0.0226,0.0313,2.89,3.07,Type I linear regression,fresh,Beibu Gulf / 2006-2007,NA,156,NA,65,2016-09-07T00:00:00Z,NA,2016-09-07T00:00:00Z,NA,NA,NA
228,Albula vulpes,1007,242,48,3678,NA,NA,FL,NA,NA,NA,unsexed,0.0233,0.014880000000000001,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,NA,3670,710,NA,3,1992-05-31T00:00:00Z,3,1995-09-18T00:00:00Z,NA,NA,NA
228,Albula vulpes,1008,242,48,8571,24,64,FL,NA,NA,171,unsexed,0.0279,0.01781,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,NA,NA,192,NA,3,1995-01-13T00:00:00Z,NA,1995-01-13T00:00:00Z,NA,NA,NA
228,Albula vulpes,1009,242,48,11824,21,66,SL,NA,NA,169,unsexed,0.0237,0.01496,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,Florida,5578,840,NA,3,1996-09-27T00:00:00Z,NA,2011-11-10T00:00:00Z,NA,NA,NA
228,Albula vulpes,1010,242,48,26585,22.5,37,SL,NA,yes,43,juvenile,0.0395,0.0221,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonlinear regression,fresh,"Gulf of Salamanca, 1995-97",26585,170,NA,3,1998-05-15T00:00:00Z,3,2012-03-30T00:00:00Z,NA,NA,NA
228,Albula vulpes,1011,242,48,26587,39,78,FL,NA,NA,26,unsexed,0.0341,0.02227,2.745,0.98804,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,NA,26587,540,NA,3,1998-05-17T00:00:00Z,NA,1998-05-17T00:00:00Z,NA,NA,NA
228,Albula vulpes,1012,242,48,32350,2.1,70.2,FL,NA,NA,518,unsexed,0.00729,0.00444,3.187,0.998,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Florida Keys, 1989-95",32350,840,NA,3,2001-02-18T00:00:00Z,NA,2005-01-28T00:00:00Z,NA,NA,NA
228,Albula vulpes,37007,242,NA,108711,19.2,40,TL,NA,NA,37,mixed,0.01138,NA,2.858,0.95,NA,0.111,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,"Indus delta, northern Arabian Sea / 1999-2001.",NA,586,NA,65,2016-06-14T00:00:00Z,NA,2016-08-01T00:00:00Z,NA,NA,NA
15129,Ambassis marianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3820,Ammodytes americanus,5727,4016,402,4667,NA,NA,NA,NA,NA,120,female,0.0014,NA,3.085,0.9293,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Block Island Sound, Rhode Island",4667,840,Postspawning.,3,1992-09-01T00:00:00Z,NA,1993-05-24T00:00:00Z,3,1995-04-05T00:00:00Z,NA
3820,Ammodytes americanus,5728,4016,402,4667,NA,NA,NA,NA,NA,109,female,0.0014,NA,3.321,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Merrimac River, New Hampshire",4667,840,Prespawning,3,1992-09-01T00:00:00Z,NA,1998-06-02T00:00:00Z,3,1995-04-05T00:00:00Z,NA
3820,Ammodytes americanus,5729,4016,402,4667,NA,NA,NA,NA,NA,128,male,0.001,NA,3.491,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Block Island Sound, Rhode Island",4667,840,Postspawning.,3,1992-09-01T00:00:00Z,NA,1993-05-24T00:00:00Z,3,1995-04-05T00:00:00Z,NA
3822,Ammodytes hexapterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,Anchoa delicatissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,Anchoa mitchilli,2058,561,454,4528,2.6,8.4,FL,NA,NA,1004,unsexed,0.00436,NA,3.18,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Chesapeake Bay, 1987 (spring)",4528,840,NA,3,2000-12-15T00:00:00Z,NA,2000-12-15T00:00:00Z,NA,NA,NA
545,Anchoa mitchilli,2059,561,454,4528,4.9,7.9,TL,NA,NA,216,unsexed,0.0171,0.0171,2.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Gulf of Mexico, Louisiana & Mississippi",4528,840,NA,3,1992-08-04T00:00:00Z,NA,1993-02-25T00:00:00Z,NA,NA,NA
545,Anchoa mitchilli,36536,561,NA,95265,1.5,6.5,SL,NA,NA,2193,unsexed,0.003,NA,3.641,0.973,NA,0.013,NA,NA,NA,NA,3.616,3.667,Type I linear regression,fresh,"Celestun lagoon, Yucatan, 1990-2006",95265,484,Weight range: 0.01 - 2.75 g. Lm = 4.0 cm.,393,2015-04-02T00:00:00Z,NA,2015-04-02T00:00:00Z,NA,NA,NA
545,Anchoa mitchilli,39342,561,NA,111768,6.4,9,TL,NA,NA,39,unsexed,0.003,NA,3.5862,0.952,NA,NA,NA,NA,0.0017,0.0051,3.319,3.853,Type I linear regression,fresh,"Terminos Lagoon, Campeche / 2006-2008",NA,484,NA,65,2017-01-24T00:00:00Z,NA,2017-01-24T00:00:00Z,NA,NA,NA
545,Anchoa mitchilli,41840,561,NA,118196,1,5.5,SL,NA,NA,1313,unsexed,0.007,NA,3.037,0.907,NA,NA,NA,NA,NA,NA,2.98,3.087,Type I linear regression,NA,"R<ed>a Lagartos lagoon, Yucatan / 2004-2005.",NA,484,NA,65,2018-09-25T00:00:00Z,NA,2018-09-25T00:00:00Z,NA,NA,NA
3269,Apeltes quadracus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4834,Aphanius fasciatus,6780,5064,212,27610,2.6,7.2,TL,NA,Yes,233,female,0.0087,0.0087,3.45,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Etolikon lagoon (Astrovitsa), 1989-91",27717,300,Used 'net weight'.,3,1998-11-27T00:00:00Z,1,2005-12-11T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6781,5064,212,27610,2,7,TL,NA,Yes,493,female,0.0088,0.0088,3.45,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Messolonghi lagoon (Rebakia), 1989-91",27717,300,Used 'net weight'.,3,1998-11-27T00:00:00Z,1,2005-12-11T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6782,5064,212,27610,2.2,6.4,TL,NA,Yes,316,female,0.01,0.01,3.16,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Messolonghi lagoon (Alykes), 1989-91",27717,300,Used 'net weight'.,3,1998-11-27T00:00:00Z,1,2005-12-11T00:00:00Z,NA,NA,NA
