ID,FAMILY,GENUS,SPECIES_NAME,A,B,CF,SGFGu,ABCfComplete
1,Heterodontidae,Heterodontus,Heterodontus portusjacksoni,0.0017,3.145,1,Gu,Yes
2,Parascylliidae,Parascyllium,Parascyllium ferrugineum,0.0017,3.145,1,Gu,Yes
3,Scyliorhinidae,Cephaloscyllium,Cephaloscyllium laticeps,0.0017,3.145,1,F,Yes
4,Urolophidae,Urolophus,Urolophus cruciatus,0.0072,3.083,1,F,Yes
5,Myliobatidae,Myliobatis,Myliobatis australis,0.0008,3.34,1,G,Yes
6,Congridae,Conger,Conger verreauxi,0.0002,3.509,1,G,Yes
8,Moridae,Lotella,Lotella rhacina,0.004,3.275,1,F,Yes
8,Moridae,Lotella,Lotella rhacina,0.004,3.275,1,F,Yes
9,Moridae,Pseudophycis,Pseudophycis bachus,0.0088,3.008,1,G,Yes
10,Moridae,Pseudophycis,Pseudophycis barbata,0.0088,3.008,1,G,Yes
11,Ophidiidae,Genypterus,Genypterus tigerinus,0.0003,3.706,1,G,Yes
12,Hemiramphidae,Hyporhamphus,Hyporhamphus melanochir,0.0015,3.199,1,G,Yes
13,Atherinidae,Atherinason,Atherinason hepsetoides,0.0075,2.975,1,F,Yes
15,Trachichthyidae,Paratrachichthys,Paratrachichthys trailli,0.0203,2.9807,1,,Yes
17,Syngnathidae,Hippocampus,Hippocampus abdominalis,0.004,2.949,1,G,Yes
18,Syngnathidae,Phyllopteryx,Phyllopteryx taeniolatus,0.0002,2.749,1,F,Yes
19,Scorpaenidae,Helicolenus,Helicolenus percoides,0.0104,3.144,1,G,Yes
20,Scorpaenidae,Neosebastes,Neosebastes scorpaenoides,0.0155,3.298,1,F,Yes
21,Scorpaenidae,Scorpaena,Scorpaena papillosa,0.0091,3.137,1,S,Yes
21,Scorpaenidae,Scorpaena,Scorpaena papillosa,0.0091,3.137,1,S,Yes
24,Serranidae,Caesioperca,Caesioperca lepidoptera,0.0978,2.643,1,S,Yes
25,Serranidae,Caesioperca,Caesioperca rasor,0.0978,2.643,1,G,Yes
26,Serranidae,Hypoplectrodes,Hypoplectrodes maccullochi,0.0152,3.0063,1,,Yes
27,Plesiopidae,Trachinops,Trachinops caudimaculatus,0.0097,2.964,1,F,Yes
28,Dinolestidae,Dinolestes,Dinolestes lewini,0.0154,2.773,1,Gu,Yes
29,Apogonidae,Vincentia,Vincentia conspersa,0.0127,3.161,1,,Yes
