Country,siteName,contactEmail,sciName,totalCount,family,active.ambush,feedingTypeFishbase,feedingImpute,trophicGroupRLS,trophicImpute,waterColumnRLS,waterColumnImpute,eat.squid,eat.squidImpute,BodyShapeI,BodyShapeII,Forehead,TypeofMouth,PosofMouth,CShape,Attributes,TL,HL,BD,SnoutTipX,SnoutTipY,AspectRatio,EncIndex,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,SoftBottom,Sand,Mud,HardBottom,SeaGrassBeds,CoralReefs,Estuaries,Mangroves,Intertidal,Saltmarshes,Herbivory2,Climate,FoodI,FoodII
Mexico (ICML),NA,NA,Acanthurus coeruleus,3,Acanthuridae,active,browsing on substrate,browsing on substrate,Browsing herbivore,browsing herbivore,Demersal,demersal,1,1,short and / or deep,NA,clearly convex,more or less normal,terminal,more or less truncate,more or less normal,514,111,257,57,279,3.48929,NaN,NaN,NaN,2,0,0,0,0,0,0,-1,0,0,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants;phytoplankton
Australia (QLD2),NA,NA,Acanthurus sp.,11,Acanthuridae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD2),NA,NA,Zebrasoma scopas,10,Acanthuridae,active,browsing on substrate,browsing on substrate,Browsing herbivore,browsing herbivore,Demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,NA,NA,525.5,153.5,261,7,287,2.02091,69,NaN,NaN,2,0,0,0,0,0,0,-1,0,0,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants;phytoplankton
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Acropoma japonicum,97,Acropomatidae,ambush,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic non-site attached,pelagic non-site attached,0,0,fusiform / normal,compressed,more or less straight,more or less normal,superior,forked,more or less normal,569,154.5,199.5,58,192,1.90447,NaN,NaN,NaN,3.26,0.4,-1,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos;zooplankton,benth. crust.;plank. crust.
USA (AK),Sunshine Cove,wraymond2@alaska.edu,Blepsias cirrhosus,3,Agonidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,0,0,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,434,104,91,NaN,NaN,0.958516,NaN,3.28,0.46,NaN,NaN,0,0,0,0,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,,
USA (WA2),False Bay,ojgraham@me.com,Nautichthys oculofasciatus,1,Agonidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,0,0,elongated,NA,NA,NA,NA,other (see remark),more or less normal,412,106,74,NaN,NaN,0.793131,NaN,NaN,NaN,4.05,0.68,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;zoobenthos,benth. crust.;finfish
Brazil,Praia do Barreiro,guca@usp.br,Albula vulpes,2,Albulidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,Demersal,demersal,1,1,fusiform / normal,NA,more or less straight,more or less normal,sub-terminal/inferior,forked,more or less normal,575,122.5,110.5,34,130,2.409305,NaN,3.73,0.284,3.66,0.56,-1,-1,-1,0,0,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks
Brazil,Praia do Barreiro,guca@usp.br,Albula vulpes,2,Albulidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,Demersal,demersal,1,1,fusiform / normal,NA,more or less straight,more or less normal,sub-terminal/inferior,forked,more or less normal,575,122.5,110.5,34,130,2.409305,NaN,3.73,0.284,3.66,0.56,-1,-1,-1,0,0,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks
Brazil,Praia do Engenho,guca@usp.br,Albula vulpes,9,Albulidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,Demersal,demersal,1,1,fusiform / normal,NA,more or less straight,more or less normal,sub-terminal/inferior,forked,more or less normal,575,122.5,110.5,34,130,2.409305,NaN,3.73,0.284,3.66,0.56,-1,-1,-1,0,0,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks
Brazil,Praia do Engenho,guca@usp.br,Albula vulpes,9,Albulidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,Demersal,demersal,1,1,fusiform / normal,NA,more or less straight,more or less normal,sub-terminal/inferior,forked,more or less normal,575,122.5,110.5,34,130,2.409305,NaN,3.73,0.284,3.66,0.56,-1,-1,-1,0,0,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks
